"unit_id","transition_id","code_id","model","repeat","value","direction","facet","evidence","flag","ambiguity_reason","code_family","cosmetic_split"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C01","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C03","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C04","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C05","claude-sonnet-5","1","1","dropped","NA","Misuse: AI systems are dual-use technologies, and so as they become more powerful, there is an increasing risk that they will be used to intentionally cause large-scale harm, for example by helping individuals create CBRN3 or cyber threats.","clear","NA","change","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C06","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C07","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C08","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C09","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C11","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C12","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C13","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C14","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C15","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content","false"
"ANT-RSP-v1-0-0033","ANT-RSP-v1-0_v2-0","C16","claude-sonnet-5","1","NA","NA","NA","NONE","NONE","NA","content","false"
"ANT-RSP-v1-0-0034","ANT-RSP-v1-0_v2-0","C01","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change","false"
"ANT-RSP-v1-0-0034","ANT-RSP-v1-0_v2-0","C03","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change","false"
"ANT-RSP-v1-0-0034","ANT-RSP-v1-0_v2-0","C04","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change","false"
"ANT-RSP-v1-0-0034","ANT-RSP-v1-0_v2-0","C05","claude-sonnet-5","1","1","dropped","NA","Autonomy and replication: As AI systems continue to scale, they may become capable of increased autonomy that enables them to proliferate and, due to imperfections in current methods for steering such systems, potentially behave in ways contrary to the intent of their designers or users.","clear","NA","change","false"
"ANT-RSP-v1-0-0034","ANT-RSP-v1-0_v2-0","C06","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change","false"
"ANT-RSP-v1-0-0034","ANT-RSP-v1-0_v2-0","C07","claude-sonnet-5","1","0","NA","NA","NONE","clear","NA","change","false"
